scenario,chemistry,year,value
NCX,NCA,2035,0.076475279
NCX,NMC532,2035,0.048979266
NCX,NMC622,2035,0.08291866
NCX,NMC811,2035,0.261100478
NCX,NMC900,2035,0.21
NCX,NMC900-Si,2035,0.21
NCX,LFP,2035,0.110526316
NCX,SIB,2035,0
NCX,ASSB (polymer),2035,0
NCX,ASSB (oxidic),2035,0
NCX,ASSB (sulfidic),2035,0
NCX,LSB,2035,0
NCX,LAB,2035,0
NCX,NCA,2036,0.066937799
NCX,NMC532,2036,0.040334928
NCX,NMC622,2036,0.076698565
NCX,NMC811,2036,0.267607656
NCX,NMC900,2036,0.225
NCX,NMC900-Si,2036,0.225
NCX,LFP,2036,0.098421053
NCX,SIB,2036,0
NCX,ASSB (polymer),2036,0
NCX,ASSB (oxidic),2036,0
NCX,ASSB (sulfidic),2036,0
NCX,LSB,2036,0
NCX,LAB,2036,0
NCX,NCA,2037,0.057400319
NCX,NMC532,2037,0.03169059
NCX,NMC622,2037,0.070478469
NCX,NMC811,2037,0.274114833
NCX,NMC900,2037,0.24
NCX,NMC900-Si,2037,0.24
NCX,LFP,2037,0.086315789
NCX,SIB,2037,0
NCX,ASSB (polymer),2037,0
NCX,ASSB (oxidic),2037,0
NCX,ASSB (sulfidic),2037,0
NCX,LSB,2037,0
NCX,LAB,2037,0
