Units,scenario,region,Year,account,value
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,2060,gdp-per-capita-ppp,17.9799
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,2065,gdp-per-capita-ppp,20.5584
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,2070,gdp-per-capita-ppp,23.381
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,2075,gdp-per-capita-ppp,26.4643
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,2080,gdp-per-capita-ppp,29.7868
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,2085,gdp-per-capita-ppp,33.3496
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,2090,gdp-per-capita-ppp,37.1751
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,2095,gdp-per-capita-ppp,41.277
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central America and Caribbean,2100,gdp-per-capita-ppp,45.6583
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central Asia,1975,gdp-per-capita-ppp,2.73158
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central Asia,1990,gdp-per-capita-ppp,8.18875
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central Asia,2005,gdp-per-capita-ppp,4.02587
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central Asia,2010,gdp-per-capita-ppp,5.67634
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Central Asia,2015,gdp-per-capita-ppp,6.79879
